service_id,date,exception_type
59_1,20220421,1
59_1,20220422,1
59_1,20220426,1
59_1,20220427,1
59_1,20220428,1
59_1,20220429,1
8_1_1,20220423,1
8_1_1,20220430,1
409_2_1,20220419,1
409_2_1,20220420,1
409_2_1,20220421,1
409_2_1,20220422,1
409_2_1,20220426,1
409_2_1,20220427,1
409_2_1,20220428,1
409_2_1,20220429,1
36_3_1,20220419,1
36_3_1,20220420,1
36_3_1,20220421,1
36_3_1,20220422,1
36_3_1,20220426,1
36_3_1,20220427,1
36_3_1,20220428,1
36_3_1,20220429,1
1041_1,20220417,1
1041_1,20220418,1
1041_1,20220424,1
1041_1,20220425,1
503_1_1,20220423,1
503_1_1,20220430,1
207_4_1,20220418,1
207_4_1,20220425,1
124_1_1,20220419,1
124_1_1,20220420,1
124_1_1,20220421,1
124_1_1,20220422,1
124_1_1,20220426,1
124_1_1,20220427,1
124_1_1,20220428,1
124_1_1,20220429,1
513_2_1,20220419,1
513_2_1,20220420,1
513_2_1,20220421,1
513_2_1,20220422,1
513_2_1,20220426,1
513_2_1,20220427,1
513_2_1,20220428,1
513_2_1,20220429,1
412_1_1,20220419,1
412_1_1,20220420,1
412_1_1,20220421,1
412_1_1,20220422,1
412_1_1,20220426,1
412_1_1,20220427,1
412_1_1,20220428,1
412_1_1,20220429,1
153_1,20220419,1
153_1,20220420,1
153_1,20220421,1
153_1,20220422,1
153_1,20220426,1
153_1,20220427,1
153_1,20220428,1
153_1,20220429,1
116_2_1,20220419,1
116_2_1,20220420,1
116_2_1,20220421,1
116_2_1,20220422,1
116_2_1,20220426,1
116_2_1,20220427,1
116_2_1,20220428,1
116_2_1,20220429,1
3181_1,20220419,1
3181_1,20220420,1
3181_1,20220421,1
3181_1,20220422,1
3181_1,20220426,1
3181_1,20220427,1
3181_1,20220428,1
3181_1,20220429,1
3122_1,20220419,1
3122_1,20220420,1
3122_1,20220421,1
3122_1,20220422,1
3122_1,20220426,1
3122_1,20220427,1
3122_1,20220428,1
3122_1,20220429,1
17_2_1,20220419,1
17_2_1,20220420,1
17_2_1,20220421,1
17_2_1,20220422,1
17_2_1,20220426,1
17_2_1,20220427,1
17_2_1,20220428,1
17_2_1,20220429,1
28_1,20220417,1
28_1,20220418,1
28_1,20220424,1
28_1,20220425,1
210_1_1,20220417,1
210_1_1,20220418,1
210_1_1,20220424,1
210_1_1,20220425,1
113_4_1,20220417,1
113_4_1,20220418,1
113_4_1,20220424,1
113_4_1,20220425,1
9_1_1,20220423,1
9_1_1,20220430,1
40_3_1,20220419,1
40_3_1,20220421,1
40_3_1,20220422,1
40_3_1,20220426,1
40_3_1,20220428,1
40_3_1,20220429,1
69_1,20220419,1
69_1,20220420,1
69_1,20220421,1
69_1,20220422,1
69_1,20220426,1
69_1,20220427,1
69_1,20220428,1
69_1,20220429,1
201_4_1,20220423,1
201_4_1,20220430,1
1021_1,20220417,1
1021_1,20220418,1
1021_1,20220424,1
1021_1,20220425,1
WHF Sa_1,20220423,1
WHF Sa_1,20220430,1
35_2_1,20220419,1
35_2_1,20220420,1
35_2_1,20220421,1
35_2_1,20220422,1
35_2_1,20220426,1
35_2_1,20220427,1
35_2_1,20220428,1
35_2_1,20220429,1
107_2_1,20220419,1
107_2_1,20220420,1
107_2_1,20220421,1
107_2_1,20220422,1
107_2_1,20220426,1
107_2_1,20220427,1
107_2_1,20220428,1
107_2_1,20220429,1
315_1,20220419,1
315_1,20220420,1
315_1,20220421,1
315_1,20220422,1
315_1,20220426,1
315_1,20220427,1
315_1,20220428,1
315_1,20220429,1
CCL Su+Hol-Xmas_1,20220417,1
CCL Su+Hol-Xmas_1,20220418,1
CCL Su+Hol-Xmas_1,20220424,1
CCL Su+Hol-Xmas_1,20220425,1
317_1,20220421,1
317_1,20220422,1
317_1,20220428,1
317_1,20220429,1
3_1,20220417,1
3_1,20220424,1
213_2_1,20220419,1
213_2_1,20220420,1
213_2_1,20220421,1
213_2_1,20220422,1
213_2_1,20220426,1
213_2_1,20220427,1
213_2_1,20220428,1
213_2_1,20220429,1
30_1,20220417,1
30_1,20220418,1
30_1,20220424,1
30_1,20220425,1
519_1,20220419,1
519_1,20220420,1
519_1,20220421,1
519_1,20220422,1
519_1,20220426,1
519_1,20220427,1
519_1,20220428,1
519_1,20220429,1
24_2_1,20220419,1
24_2_1,20220420,1
24_2_1,20220421,1
24_2_1,20220422,1
24_2_1,20220426,1
24_2_1,20220427,1
24_2_1,20220428,1
24_2_1,20220429,1
309_1_1,20220423,1
309_1_1,20220430,1
101_1_1,20220423,1
101_1_1,20220430,1
80_1,20220419,1
80_1,20220420,1
80_1,20220421,1
80_1,20220422,1
80_1,20220426,1
80_1,20220427,1
80_1,20220428,1
80_1,20220429,1
515_1,20220419,1
515_1,20220420,1
515_1,20220421,1
515_1,20220422,1
515_1,20220426,1
515_1,20220427,1
515_1,20220428,1
515_1,20220429,1
2091_1,20220423,1
2091_1,20220430,1
7_1,20220417,1
7_1,20220418,1
7_1,20220424,1
7_1,20220425,1
209_1_1,20220417,1
209_1_1,20220418,1
209_1_1,20220424,1
209_1_1,20220425,1
34_3_1,20220419,1
34_3_1,20220420,1
34_3_1,20220421,1
34_3_1,20220422,1
34_3_1,20220426,1
34_3_1,20220427,1
34_3_1,20220428,1
34_3_1,20220429,1
607_1,20220419,1
607_1,20220420,1
607_1,20220421,1
607_1,20220422,1
607_1,20220426,1
607_1,20220427,1
607_1,20220428,1
607_1,20220429,1
237_1,20220419,1
237_1,20220420,1
237_1,20220421,1
237_1,20220422,1
237_1,20220426,1
237_1,20220427,1
237_1,20220428,1
237_1,20220429,1
2052_1,20220423,1
2052_1,20220430,1
507_1,20220423,1
507_1,20220430,1
64_1,20220419,1
64_1,20220420,1
64_1,20220421,1
64_1,20220422,1
64_1,20220426,1
64_1,20220427,1
64_1,20220428,1
64_1,20220429,1
25_1,20220417,1
25_1,20220418,1
25_1,20220424,1
25_1,20220425,1
306_3_1,20220419,1
306_3_1,20220420,1
306_3_1,20220426,1
306_3_1,20220427,1
49_1,20220423,1
49_1,20220430,1
1_1_1,20220423,1
1_1_1,20220430,1
418_1,20220423,1
418_1,20220430,1
307_1_1,20220423,1
307_1_1,20220430,1
CCL Sa_1,20220423,1
CCL Sa_1,20220430,1
106_1,20220417,1
106_1,20220418,1
106_1,20220424,1
106_1,20220425,1
7_3_1,20220419,1
7_3_1,20220420,1
7_3_1,20220421,1
7_3_1,20220422,1
7_3_1,20220426,1
7_3_1,20220427,1
7_3_1,20220428,1
7_3_1,20220429,1
53_1,20220419,1
53_1,20220420,1
53_1,20220421,1
53_1,20220422,1
53_1,20220426,1
53_1,20220427,1
53_1,20220428,1
53_1,20220429,1
8_3_1,20220419,1
8_3_1,20220420,1
8_3_1,20220421,1
8_3_1,20220422,1
8_3_1,20220426,1
8_3_1,20220427,1
8_3_1,20220428,1
8_3_1,20220429,1
206_1,20220417,1
206_1,20220418,1
206_1,20220424,1
206_1,20220425,1
309_2_1,20220419,1
309_2_1,20220420,1
309_2_1,20220421,1
309_2_1,20220422,1
309_2_1,20220426,1
309_2_1,20220427,1
309_2_1,20220428,1
309_2_1,20220429,1
311_1_1,20220419,1
311_1_1,20220420,1
311_1_1,20220421,1
311_1_1,20220422,1
311_1_1,20220426,1
311_1_1,20220427,1
311_1_1,20220428,1
311_1_1,20220429,1
213_1_1,20220423,1
213_1_1,20220430,1
2072_1,20220423,1
2072_1,20220430,1
506_2_1,20220419,1
506_2_1,20220420,1
506_2_1,20220421,1
506_2_1,20220422,1
506_2_1,20220426,1
506_2_1,20220427,1
506_2_1,20220428,1
506_2_1,20220429,1
37_1,20220417,1
37_1,20220418,1
37_1,20220424,1
37_1,20220425,1
3031_1,20220419,1
3031_1,20220420,1
3031_1,20220421,1
3031_1,20220422,1
3031_1,20220426,1
3031_1,20220427,1
3031_1,20220428,1
3031_1,20220429,1
406_1,20220417,1
406_1,20220418,1
406_1,20220424,1
406_1,20220425,1
216_2_1,20220419,1
216_2_1,20220420,1
216_2_1,20220421,1
216_2_1,20220422,1
216_2_1,20220426,1
216_2_1,20220427,1
216_2_1,20220428,1
216_2_1,20220429,1
5_1_1,20220423,1
5_1_1,20220430,1
118_1_1,20220419,1
118_1_1,20220420,1
118_1_1,20220421,1
118_1_1,20220422,1
118_1_1,20220426,1
118_1_1,20220427,1
118_1_1,20220428,1
118_1_1,20220429,1
3133_1,20220419,1
3133_1,20220420,1
3133_1,20220421,1
3133_1,20220422,1
3133_1,20220426,1
3133_1,20220427,1
3133_1,20220428,1
3133_1,20220429,1
10_1,20220417,1
10_1,20220418,1
10_1,20220424,1
10_1,20220425,1
2_1_1,20220423,1
2_1_1,20220430,1
304_1,20220417,1
304_1,20220418,1
304_1,20220424,1
304_1,20220425,1
101_2_1,20220419,1
101_2_1,20220420,1
101_2_1,20220421,1
101_2_1,20220422,1
101_2_1,20220426,1
101_2_1,20220427,1
101_2_1,20220428,1
101_2_1,20220429,1
3271_1,20220419,1
3271_1,20220420,1
3271_1,20220421,1
3271_1,20220422,1
3271_1,20220426,1
3271_1,20220427,1
3271_1,20220428,1
3271_1,20220429,1
48_1_1,20220419,1
48_1_1,20220420,1
48_1_1,20220421,1
48_1_1,20220422,1
48_1_1,20220426,1
48_1_1,20220427,1
48_1_1,20220428,1
48_1_1,20220429,1
3011_1,20220419,1
3011_1,20220420,1
3011_1,20220421,1
3011_1,20220422,1
3011_1,20220426,1
3011_1,20220427,1
3011_1,20220428,1
3011_1,20220429,1
234_1,20220419,1
234_1,20220420,1
234_1,20220421,1
234_1,20220422,1
234_1,20220426,1
234_1,20220427,1
234_1,20220428,1
234_1,20220429,1
709_1,20220423,1
709_1,20220430,1
8_2_1,20220419,1
8_2_1,20220420,1
8_2_1,20220421,1
8_2_1,20220422,1
8_2_1,20220426,1
8_2_1,20220427,1
8_2_1,20220428,1
8_2_1,20220429,1
10_3_1,20220419,1
10_3_1,20220420,1
