service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
108_1_1,0,0,0,0,0,0,0,20220206,20220312
51_1,0,0,0,0,0,0,0,20220206,20220312
12_1_1,0,0,0,0,0,0,0,20220206,20220312
207_1_1,0,0,0,0,0,0,0,20220206,20220312
125_1,0,0,0,0,0,0,0,20220206,20220312
25_2_1,0,0,0,0,0,0,0,20220206,20220312
315_1,0,0,0,0,0,0,0,20220206,20220312
304_1_1,0,0,0,0,0,0,0,20220206,20220312
118_2_1,0,0,0,0,0,0,0,20220206,20220312
10_1,0,0,0,0,0,0,0,20220206,20220312
3042_1,0,0,0,0,0,0,0,20220206,20220312
3_2_1,0,0,0,0,0,0,0,20220206,20220312
308_2_1,0,0,0,0,0,0,0,20220206,20220312
3222_1,0,0,0,0,0,0,0,20220206,20220312
117_1_1,0,0,0,0,0,0,0,20220206,20220312
76_1,0,0,0,0,0,0,0,20220206,20220312
26_3_1,0,0,0,0,0,0,0,20220206,20220312
224_1,0,0,0,0,0,0,0,20220206,20220312
416_1_1,0,0,0,0,0,0,0,20220206,20220312
1061_1,0,0,0,0,0,0,0,20220206,20220312
406_1,0,0,0,0,0,0,0,20220206,20220312
512_1,0,0,0,0,0,0,0,20220206,20220312
3031_1,0,0,0,0,0,0,0,20220206,20220312
2052_1,0,0,0,0,0,0,0,20220206,20220312
325_1,0,0,0,0,0,0,0,20220206,20220312
32_2_1,0,0,0,0,0,0,0,20220206,20220312
210_1,0,0,0,0,0,0,0,20220206,20220312
1001_1,0,0,0,0,0,0,0,20220206,20220312
219_1_1,0,0,0,0,0,0,0,20220206,20220312
418_1,0,0,0,0,0,0,0,20220206,20220312
207_3_1,0,0,0,0,0,0,0,20220206,20220312
217_1,0,0,0,0,0,0,0,20220206,20220312
15_1,0,0,0,0,0,0,0,20220206,20220312
Rail F-XHol_1,0,0,0,0,0,0,0,20220206,20220312
211_3_1,0,0,0,0,0,0,0,20220206,20220312
511_1,0,0,0,0,0,0,0,20220206,20220312
69_1,0,0,0,0,0,0,0,20220206,20220312
103_1,0,0,0,0,0,0,0,20220206,20220312
225_1,0,0,0,0,0,0,0,20220206,20220312
512_1_1,0,0,0,0,0,0,0,20220206,20220312
434_1,0,0,0,0,0,0,0,20220206,20220312
88_1,0,0,0,0,0,0,0,20220206,20220312
64_1,0,0,0,0,0,0,0,20220206,20220312
615_1_1,0,0,0,0,0,0,0,20220206,20220312
3221_1,0,0,0,0,0,0,0,20220206,20220312
2082_1,0,0,0,0,0,0,0,20220206,20220312
316_1,0,0,0,0,0,0,0,20220206,20220312
412_1,0,0,0,0,0,0,0,20220206,20220312
615_1,0,0,0,0,0,0,0,20220206,20220312
29_1_1,0,0,0,0,0,0,0,20220206,20220312
3171_1,0,0,0,0,0,0,0,20220206,20220312
105_3_1,0,0,0,0,0,0,0,20220206,20220312
11_4_1,0,0,0,0,0,0,0,20220206,20220312
127_1_1,0,0,0,0,0,0,0,20220206,20220312
31_1_1,0,0,0,0,0,0,0,20220206,20220312
52_1,0,0,0,0,0,0,0,20220206,20220312
61_1,0,0,0,0,0,0,0,20220206,20220312
503_2_1,0,0,0,0,0,0,0,20220206,20220312
708_1,0,0,0,0,0,0,0,20220206,20220312
25_4_1,0,0,0,0,0,0,0,20220206,20220312
516_1,0,0,0,0,0,0,0,20220206,20220312
205_1,0,0,0,0,0,0,0,20220206,20220312
304_3_1,0,0,0,0,0,0,0,20220206,20220312
116_3_1,0,0,0,0,0,0,0,20220206,20220312
218_1_1,0,0,0,0,0,0,0,20220206,20220312
28_1_1,0,0,0,0,0,0,0,20220206,20220312
1021_1,0,0,0,0,0,0,0,20220206,20220312
150_1,0,0,0,0,0,0,0,20220206,20220312
201_4_1,0,0,0,0,0,0,0,20220206,20220312
1011_1,0,0,0,0,0,0,0,20220206,20220312
33_3_1,0,0,0,0,0,0,0,20220206,20220312
304_1,0,0,0,0,0,0,0,20220206,20220312
314_1,0,0,0,0,0,0,0,20220206,20220312
2111_1,0,0,0,0,0,0,0,20220206,20220312
2_3_1,0,0,0,0,0,0,0,20220206,20220312
44_3_1,0,0,0,0,0,0,0,20220206,20220312
203_1,0,0,0,0,0,0,0,20220206,20220312
210_3_1,0,0,0,0,0,0,0,20220206,20220312
3341_1,0,0,0,0,0,0,0,20220206,20220312
101_1_1,0,0,0,0,0,0,0,20220206,20220312
13_1_1,0,0,0,0,0,0,0,20220206,20220312
312_1_1,0,0,0,0,0,0,0,20220206,20220312
37_1_1,0,0,0,0,0,0,0,20220206,20220312
216_2_1,0,0,0,0,0,0,0,20220206,20220312
509_2_1,0,0,0,0,0,0,0,20220206,20220312
608_1,0,0,0,0,0,0,0,20220206,20220312
310_2_1,0,0,0,0,0,0,0,20220206,20220312
413_1_1,0,0,0,0,0,0,0,20220206,20220312
101_1,0,0,0,0,0,0,0,20220206,20220312
102_1_1,0,0,0,0,0,0,0,20220206,20220312
901_1,0,0,0,0,0,0,0,20220206,20220312
3102_1,0,0,0,0,0,0,0,20220206,20220312
47_1_1,0,0,0,0,0,0,0,20220206,20220312
32_1,0,0,0,0,0,0,0,20220206,20220312
150_1_1,0,0,0,0,0,0,0,20220206,20220312
3193_1,0,0,0,0,0,0,0,20220206,20220312
2_2_1,0,0,0,0,0,0,0,20220206,20220312
