from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
3081,3081,2,120,19__0__155__TZM__130__1__130__1,1__1__196__TZM__232__232
WATE2,9165,2,0,HVL__0__4616__RAIL__Rail_MTuWThF-XHol,130__0__173__TZM__409__1__409__1
WATE2,9165,2,0,HVL__0__4616__RAIL__Rail_MTuWThF-XHol,130__0__173__TZM__409__2__409__2
WAIK,1501,2,240,KPL__0__6236__RAIL__Rail_MTuWThF-XHol,280__0__127__UZM__808__808
PORI2,2002,2,0,KPL__0__6452__RAIL__Rail_SaSu+Hol,230__0__421__TZM__303__2__303__2
PORI2,2002,2,0,KPL__0__6452__RAIL__Rail_SaSu+Hol,230__0__421__TZM__303__5__303__5
PORI2,2001,2,0,KPL__0__6424__RAIL__Rail_SaSu+Hol,210__0__405__TZM__305__1__305__1
2003,PORI1,2,0,210__1__724__TZM__306__306,KPL__1__6459__RAIL__Rail_SaSu+Hol
7720,7700,2,60,29__1__422__TZM__103__1__103__1,7__1__448__TZM__104__1__104__1
7720,7700,2,60,29__1__422__TZM__103__1__103__1,7__1__448__TZM__104__4__104__4
8580,UPPE,2,240,113__1__102__TZM__518__518,HVL__1__2617__RAIL__Rail_MTuWThF-XHol
6055,6017,2,240,1__1__440__TZM__206__2__206__2,23__0__421__TZM__108__1__108__1
7017,7017,2,120,29__0__155__TZM__109__2__109__2,1__0__269__TZM__226__226
7017,7017,2,120,29__0__155__TZM__109__2__109__2,1__0__269__TZM__226__1__226__1
8297,TAIT1,2,0,121__1__120__TZM__426__426,HVL__1__3601__RAIL__Rail_MTuWThF-XHol
8140,WATE1,2,0,170__0__101__TZM__602__2__602__2,HVL__1__2605__RAIL__Rail_MTuWThF-XHol
8140,WATE1,2,0,170__0__101__TZM__602__3__602__3,HVL__1__2605__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,220__1__736__TZM__305__305,KPL__1__6451__RAIL__Rail_SaSu+Hol
