from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
1001,PARA1,2,0,261__1__406__UZM__4704__4704,KPL__1__6427__RAIL__Rail_SaSu+Hol
PARA2,1000,2,0,KPL__0__6430__RAIL__Rail_SaSu+Hol,260__0__411__UZM__4705__4705
7730,7730,2,120,23__1__430__TZM__105__1__105__1,7__1__456__TZM__104__1__104__1
7730,7730,2,120,23__1__430__TZM__105__1__105__1,7__1__456__TZM__104__4__104__4
6081,6081,2,120,2__1__528__NBM__22__22,18__0__721__NBM__16__16
PARA2,1000,2,0,KPL__0__6444__RAIL__Rail_SaSu+Hol,250__0__717__UZM__4104__4104
6733,6730,2,120,7__0__439__TZM__209__1__209__1,23__0__423__TZM__110__1__110__1
1001,PARA1,2,0,262__1__412__UZM__4701__4701,KPL__1__6441__RAIL__Rail_SaSu+Hol
8165,WATE1,2,0,150__1__148__TZM__403__3__403__3,HVL__1__4621__RAIL__Rail_MTuWThF-XHol
2002,PORI1,2,0,236__1__714__TZM__304__304,KPL__1__6443__RAIL__Rail_SaSu+Hol
2002,PORI1,2,0,236__1__714__TZM__304__4__304__4,KPL__1__6443__RAIL__Rail_SaSu+Hol
2002,PORI1,2,0,236__1__416__TZM__306__1__306__1,KPL__1__6443__RAIL__Rail_SaSu+Hol
PARA2,1001,2,240,KPL__0__6458__RAIL__Rail_SaSu+Hol,261__0__723__UZM__4103__4103
PARA2,1001,2,240,KPL__0__6340__RAIL__Rail_MTuWThF-XHol,261__0__143__UZM__834__834
6055,6017,2,240,1__1__432__TZM__111__2__111__2,23__0__417__TZM__110__1__110__1
PETO2,9001,2,0,HVL__0__3854__RAIL__Rail_SaSu+Hol,150__0__719__TZM__405__405
2003,PORI1,2,0,226__0__115__TZM__309__309,KPL__1__6225__RAIL__Rail_MTuWThF-XHol
PORI2,2002,2,0,KPL__0__6332__RAIL__Rail_MTuWThF-XHol,230__0__133__TZM__301__2__301__2
PORI2,2002,2,0,KPL__0__6332__RAIL__Rail_MTuWThF-XHol,230__0__133__TZM__301__3__301__3
PORI2,2002,2,0,KPL__0__6332__RAIL__Rail_MTuWThF-XHol,230__0__133__TZM__301__4__301__4
PORI1,2002,2,0,KPL__1__6235__RAIL__Rail_MTuWThF-XHol,60__1__122__MNM__3132__3132
1001,PARA1,2,0,262__1__136__UZM__111__111,KPL__1__6331__RAIL__Rail_MTuWThF-XHol
6081,6081,2,120,2__1__502__NBM__11__1__11__1,18__0__503__NBM__36__1__36__1
PORI2,2001,2,0,KPL__0__6344__RAIL__Rail_MTuWThF-XHol,220__0__195__TZM__313__313
PORI2,2001,2,0,KPL__0__6344__RAIL__Rail_MTuWThF-XHol,220__0__195__TZM__313__1__313__1
7083,7083,2,120,18e__1__410__NBM__33__2__33__2,2__0__437__NBM__6__1__6__1
8165,WATE1,2,0,150__1__108__TZM__404__2__404__2,HVL__1__2613__RAIL__Rail_MTuWThF-XHol
8165,WATE1,2,0,150__1__108__TZM__404__3__404__3,HVL__1__2613__RAIL__Rail_MTuWThF-XHol
WATE2,9140,2,0,HVL__0__3864__RAIL__Rail_SaSu+Hol,170__0__727__TZM__402__402
2002,PORI1,2,0,230__1__414__TZM__303__2__303__2,KPL__1__6435__RAIL__Rail_SaSu+Hol
2002,PORI1,2,0,230__1__414__TZM__303__5__303__5,KPL__1__6435__RAIL__Rail_SaSu+Hol
2002,PORI1,2,0,230__1__710__TZM__301__301,KPL__1__6435__RAIL__Rail_SaSu+Hol
9001,PETO1,2,0,154__0__123__TZM__408__1__408__1,HVL__1__3615__RAIL__Rail_MTuWThF-XHol
9001,PETO1,2,0,154__0__123__TZM__408__2__408__2,HVL__1__3615__RAIL__Rail_MTuWThF-XHol
1001,PARA1,2,0,262__1__708__UZM__4101__4101,KPL__1__6433__RAIL__Rail_SaSu+Hol
6224,6224,2,240,2__1__202__NBM__118__2__118__2,12__0__143__NBM__78__78
PETO2,9001,2,0,MEL__0__5632__RAIL__Rail_MTuWThF-XHol,154__0__125__TZM__430__430
PETO2,9001,2,0,MEL__0__5632__RAIL__Rail_MTuWThF-XHol,154__0__125__TZM__430__1__430__1
PETO2,9001,2,0,HVL__0__4618__RAIL__Rail_MTuWThF-XHol,154__0__125__TZM__430__430
PETO2,9001,2,0,HVL__0__4618__RAIL__Rail_MTuWThF-XHol,154__0__125__TZM__430__1__430__1
6720,7720,2,120,7__0__453__TZM__104__1__104__1,17__0__427__TZM__102__1__102__1
6720,7720,2,120,7__0__453__TZM__104__4__104__4,17__0__427__TZM__102__1__102__1
3081,3081,2,120,60__1__408__MNM__2101__2101,1__1__418__TZM__202__2__202__2
3081,3081,2,120,19__0__153__TZM__130__130,1__1__188__TZM__147__147
3081,3081,2,120,19__0__153__TZM__130__1__130__1,1__1__188__TZM__147__1__147__1
2002,PORI2,2,0,60__0__437__MNM__2102__2102,KPL__0__6454__RAIL__Rail_SaSu+Hol
6720,7720,2,120,7__0__425__TZM__204__3__204__3,17__0__413__TZM__102__1__102__1
6720,7720,2,120,7__0__425__TZM__204__7__204__7,17__0__413__TZM__102__1__102__1
WATE2,9165,2,0,HVL__0__3856__RAIL__Rail_SaSu+Hol,150__0__719__TZM__405__405
8580,UPPE,2,240,110__1__472__TZM__511__511,HVL__1__3851__RAIL__Rail_SaSu+Hol
PORI2,2001,2,0,KPL__0__6456__RAIL__Rail_SaSu+Hol,210__0__421__TZM__305__1__305__1
TAIT2,9251,2,0,HVL__0__3870__RAIL__Rail_SaSu+Hol,120__0__487__TZM__413__413
1001,PARA1,2,0,250__0__719__UZM__4105__4105,KPL__1__6451__RAIL__Rail_SaSu+Hol
1001,PARA1,2,0,261__1__148__UZM__611__1__611__1,KPL__1__6345__RAIL__Rail_MTuWThF-XHol
8580,UPPE,2,240,110__1__192__TZM__418__1__418__1,HVL__1__3635__RAIL__Rail_MTuWThF-XHol
8580,UPPE,2,240,110__1__192__TZM__418__2__418__2,HVL__1__3635__RAIL__Rail_MTuWThF-XHol
8251,TAIT1,2,0,120__1__168__TZM__611__611,HVL__1__3615__RAIL__Rail_MTuWThF-XHol
8251,TAIT1,2,0,120__1__168__TZM__611__2__611__2,HVL__1__3615__RAIL__Rail_MTuWThF-XHol
PARA2,1001,2,240,KPL__0__6220__RAIL__Rail_MTuWThF-XHol,262__0__109__UZM__3333__3333
7720,7700,2,60,29__1__160__TZM__103__2__103__2,7__1__230__TZM__123__123
7720,7700,2,60,29__1__160__TZM__103__4__103__4,7__1__230__TZM__123__1__123__1
PORI2,2001,2,0,KPL__0__8216__RAIL__Rail_MTuWThF-XHol,210__0__133__TZM__322__322
PORI2,2001,2,0,KPL__0__8216__RAIL__Rail_MTuWThF-XHol,210__0__133__TZM__322__1__322__1
PORI2,2001,2,0,KPL__0__8216__RAIL__Rail_MTuWThF-XHol,210__0__133__TZM__322__2__322__2
PORI2,2001,2,0,KPL__0__6336__RAIL__Rail_MTuWThF-XHol,210__0__133__TZM__322__322
PORI2,2001,2,0,KPL__0__6336__RAIL__Rail_MTuWThF-XHol,210__0__133__TZM__322__1__322__1
PORI2,2001,2,0,KPL__0__6336__RAIL__Rail_MTuWThF-XHol,210__0__133__TZM__322__2__322__2
PORI2,2001,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,210__0__133__TZM__322__322
PORI2,2001,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,210__0__133__TZM__322__1__322__1
PORI2,2001,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,210__0__133__TZM__322__2__322__2
6055,6017,2,240,1__1__278__TZM__138__138,29__1__164__TZM__109__2__109__2
6224,6224,2,240,2__1__100__NBM__150__1__150__1,12__0__101__NBM__20__2__20__2
6224,6224,2,240,2__1__100__NBM__150__1__150__1,12__0__101__NBM__20__2copy__20__2copy
1001,PARA1,2,0,250__0__127__UZM__604__2__604__2,KPL__1__6319__RAIL__Rail_MTuWThF-XHol
TAIT2,9297,2,0,HVL__0__2626__RAIL__Rail_MTuWThF-XHol,121__0__119__TZM__426__426
PORI2,2001,2,0,KPL__0__6432__RAIL__Rail_SaSu+Hol,220__0__421__TZM__304__1__304__1
PORI2,2001,2,0,KPL__0__6432__RAIL__Rail_SaSu+Hol,220__0__421__TZM__304__3__304__3
6055,6017,2,240,1__1__162__TZM__1__5__1__5,29__1__124__TZM__109__2__109__2
3081,3081,2,120,60__1__164__MNM__3042__3042,1__1__286__TZM__153__2__153__2
6224,6224,2,240,2__1__458__NBM__9__1__9__1,12__0__425__NBM__27__1__27__1
6720,7720,2,120,7__0__187__TZM__121__121,17__0__139__TZM__105__2__105__2
6720,7720,2,120,7__0__187__TZM__121__121,17__0__139__TZM__105__4__105__4
PETO2,9001,2,0,HVL__0__3834__RAIL__Rail_SaSu+Hol,150__0__709__TZM__403__403
7017,7017,2,120,29__0__405__TZM__114__1__114__1,1__0__417__TZM__116__1__116__1
6055,6017,2,240,1__1__720__TZM__202__202,23__0__709__TZM__114__114
7720,7700,2,60,29__1__416__TZM__103__1__103__1,7__1__436__TZM__204__3__204__3
7720,7700,2,60,29__1__416__TZM__103__1__103__1,7__1__436__TZM__204__7__204__7
2002,PORI2,2,0,60__0__721__MNM__1042__1042,KPL__0__6460__RAIL__Rail_SaSu+Hol
6081,6081,2,120,2__1__174__NBM__36__2__36__2,18__0__149__NBM__110__3__110__3
6081,6081,2,120,2__1__174__NBM__36__2__36__2,18__0__149__NBM__110__3copy__110__3copy
7224,7224,2,120,12__1__162__NBM__79__79,2__0__261__NBM__50__50
8251,TAIT1,2,0,120__1__212__TZM__419__1__419__1,HVL__1__3657__RAIL__Rail_MTuWThF-XHol
8251,TAIT1,2,0,120__1__212__TZM__419__2__419__2,HVL__1__3657__RAIL__Rail_MTuWThF-XHol
8251,TAIT1,2,0,120__1__212__TZM__419__3__419__3,HVL__1__3657__RAIL__Rail_MTuWThF-XHol
7083,7083,2,120,18e__1__127__NBM__101__1__101__1,2__0__125__NBM__105__3__105__3
7730,7730,2,120,23__1__706__TZM__107__107,7__1__712__TZM__115__115
8251,TAIT1,2,0,120__1__106__TZM__407__2__407__2,HVL__1__4603__RAIL__Rail_MTuWThF-XHol
7017,7017,2,120,23__1__728__TZM__114__114,1__0__767__TZM__108__108
PARA2,1000,2,0,KPL__0__6344__RAIL__Rail_MTuWThF-XHol,260__0__149__UZM__1013__1013
PETO2,9001,2,0,HVL__0__3838__RAIL__Rail_SaSu+Hol,150__0__421__TZM__404__1__404__1
6081,6081,2,120,2__1__438__NBM__23__1__23__1,18__0__439__NBM__36__1__36__1
WATE2,9165,2,0,HVL__0__3836__RAIL__Rail_SaSu+Hol,150__0__709__TZM__403__403
PORI2,2003,2,0,KPL__0__6346__RAIL__Rail_MTuWThF-XHol,220__1__190__TZM__315__315
PORI2,2003,2,0,KPL__0__6346__RAIL__Rail_MTuWThF-XHol,220__1__190__TZM__315__1__315__1
8165,WATE1,2,0,130__1__180__TZM__439__439,HVL__1__4619__RAIL__Rail_MTuWThF-XHol
8165,WATE1,2,0,150__1__138__TZM__412__1__412__1,HVL__1__3615__RAIL__Rail_MTuWThF-XHol
UPPE,8579,2,240,HVL__0__3624__RAIL__Rail_MTuWThF-XHol,110__0__169__TZM__504__2__504__2
6720,7720,2,120,7__0__229__TZM__117__2__117__2,17__0__157__TZM__103__2__103__2
6720,7720,2,120,7__0__229__TZM__117__4__117__4,17__0__157__TZM__103__4__103__4
8140,WATE1,2,0,160__1__112__TZM__610__610,HVL__1__2615__RAIL__Rail_MTuWThF-XHol
PORI2,2002,2,0,KPL__0__6326__RAIL__Rail_MTuWThF-XHol,236__0__119__TZM__309__309
8140,WATE1,2,0,170__0__121__TZM__601__2__601__2,HVL__1__2619__RAIL__Rail_MTuWThF-XHol
7017,7017,2,120,29__0__121__TZM__103__2__103__2,1__0__169__TZM__1__5__1__5
7017,7017,2,120,29__0__121__TZM__103__4__103__4,1__0__169__TZM__1__5__1__5
2001,PORI1,2,0,220__0__427__TZM__301__1__301__1,KPL__1__6433__RAIL__Rail_SaSu+Hol
6733,6730,2,120,7__0__721__TZM__115__115,23__0__719__TZM__107__107
3000,3000,2,300,1__0__133__TZM__225__225,19__0__143__TZM__130__130
3000,3000,2,300,1__0__133__TZM__225__225,19__0__143__TZM__130__1__130__1
6720,7720,2,120,7__0__235__TZM__123__123,17__0__151__TZM__105__2__105__2
6720,7720,2,120,7__0__235__TZM__123__1__123__1,17__0__151__TZM__105__4__105__4
3000,3000,2,300,1__0__483__TZM__2__4__2__4,60__0__445__MNM__2032__2032
8165,WATE1,2,0,150__1__714__TZM__405__405,HVL__1__3841__RAIL__Rail_SaSu+Hol
WAIK,1501,2,240,KPL__0__6420__RAIL__Rail_SaSu+Hol,280__0__405__UZM__4702__4702
2001,PORI1,2,0,220__0__143__TZM__310__310,KPL__1__6237__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,220__1__140__TZM__305__2__305__2,KPL__1__6237__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,220__1__140__TZM__305__3__305__3,KPL__1__6237__RAIL__Rail_MTuWThF-XHol
5915,5915,2,0,21__0__215__NBM__116__3__116__3,22__0__217__NBM__16__2__16__2
5915,5915,2,0,21__0__215__NBM__116__3copy__116__3copy,22__0__217__NBM__16__2__16__2
8580,UPPE,2,240,110__1__408__TZM__509__509,HVL__1__3817__RAIL__Rail_SaSu+Hol
2002,PORI2,2,0,60__0__701__MNM__1021__1021,KPL__0__6420__RAIL__Rail_SaSu+Hol
3000,3000,2,300,1__0__447__TZM__202__2__202__2,19__0__423__TZM__210__210
8165,WATE1,2,0,130__1__710__TZM__401__401,HVL__1__3823__RAIL__Rail_SaSu+Hol
1501,WAIK,2,240,280__0__159__UZM__1133__1133,KPL__1__6355__RAIL__Rail_MTuWThF-XHol
7224,7224,2,120,12__1__430__NBM__12__1__12__1,2__0__461__NBM__26__1__26__1
WAIK,1501,2,240,KPL__0__6328__RAIL__Rail_MTuWThF-XHol,280__0__139__UZM__1108__1108
WAIK,1501,2,240,KPL__0__6328__RAIL__Rail_MTuWThF-XHol,280__0__139__UZM__1108copy__1108copy
6224,6224,2,240,2__1__498__NBM__5__1__5__1,12__0__441__NBM__21__1__21__1
6055,6017,2,240,1__1__764__TZM__1__3__1__3,23__0__731__TZM__107__107
6720,7720,2,120,7__0__175__TZM__242__242,17__0__133__TZM__139__139
6720,7720,2,120,7__0__175__TZM__242__1__242__1,17__0__133__TZM__139__139
3000,3000,2,300,1__0__741__TZM__102__102,19__0__721__TZM__205__2__205__2
3000,3000,2,300,1__0__741__TZM__102__102,19__0__721__TZM__205__8__205__8
7017,7017,2,120,23__1__718__TZM__107__107,1__0__747__TZM__108__108
WATE2,9165,2,0,HVL__0__3826__RAIL__Rail_SaSu+Hol,130__0__709__TZM__404__404
7720,7700,2,60,29__1__410__TZM__103__1__103__1,7__1__424__TZM__104__1__104__1
7720,7700,2,60,29__1__410__TZM__103__1__103__1,7__1__424__TZM__104__4__104__4
5915,5915,2,0,21__0__445__NBM__6__1__6__1,22__0__445__NBM__23__1__23__1
PARE,2600,2,240,KPL__0__6324__RAIL__Rail_MTuWThF-XHol,236__0__117__TZM__321__1__321__1
PARE,2600,2,240,KPL__0__6324__RAIL__Rail_MTuWThF-XHol,236__0__117__TZM__323__323
PARA2,1001,2,240,KPL__0__6226__RAIL__Rail_MTuWThF-XHol,261__0__113__UZM__1410__1410
PARA2,1001,2,240,KPL__0__6226__RAIL__Rail_MTuWThF-XHol,261__0__113__UZM__1410__1__1410__1
PARA2,1001,2,240,KPL__0__6226__RAIL__Rail_MTuWThF-XHol,261__0__113__UZM__1410copy__1410copy
8251,TAIT1,2,0,120__1__150__TZM__602__2__602__2,HVL__1__3601__RAIL__Rail_MTuWThF-XHol
8251,TAIT1,2,0,120__1__150__TZM__602__3__602__3,HVL__1__3601__RAIL__Rail_MTuWThF-XHol
1001,PARA1,2,0,261__1__718__UZM__4104__4104,KPL__1__6451__RAIL__Rail_SaSu+Hol
PARA2,1000,2,0,KPL__0__6454__RAIL__Rail_SaSu+Hol,260__0__723__UZM__4105__4105
PORI2,2002,2,0,KPL__0__6320__RAIL__Rail_MTuWThF-XHol,230__0__123__TZM__308__1__308__1
PORI2,2002,2,0,KPL__0__6320__RAIL__Rail_MTuWThF-XHol,230__0__123__TZM__308__2__308__2
PORI2,2002,2,0,KPL__0__6440__RAIL__Rail_SaSu+Hol,230__0__415__TZM__303__2__303__2
PORI2,2002,2,0,KPL__0__6440__RAIL__Rail_SaSu+Hol,230__0__415__TZM__303__5__303__5
6720,7720,2,120,7__0__203__TZM__114__2__114__2,29__0__149__TZM__129__129
6720,7720,2,120,7__0__203__TZM__114__4__114__4,29__0__149__TZM__129__129
6720,7720,2,120,7__0__205__TZM__117__2__117__2,29__0__149__TZM__129__129
6720,7720,2,120,7__0__205__TZM__117__4__117__4,29__0__149__TZM__129__129
PORI1,2002,2,0,KPL__1__6331__RAIL__Rail_MTuWThF-XHol,60__1__158__MNM__3112__3112
2002,PORI1,2,0,236__1__408__TZM__306__1__306__1,KPL__1__6427__RAIL__Rail_SaSu+Hol
2002,PORI1,2,0,236__1__706__TZM__304__304,KPL__1__6427__RAIL__Rail_SaSu+Hol
2002,PORI1,2,0,236__1__706__TZM__304__4__304__4,KPL__1__6427__RAIL__Rail_SaSu+Hol
3081,3081,2,120,60__1__134__MNM__3051__3051,1__1__206__TZM__131__131
6733,6730,2,120,7__0__739__TZM__115__115,23__0__737__TZM__114__114
7224,7224,2,120,12__1__724__NBM__36__36,2__0__787__NBM__4__4
7224,7224,2,120,12__1__724__NBM__36__36,2__0__787__NBM__4copy__4copy
PORI2,2001,2,0,KPL__0__6314__RAIL__Rail_MTuWThF-XHol,220__0__159__TZM__313__313
PORI2,2001,2,0,KPL__0__6314__RAIL__Rail_MTuWThF-XHol,220__0__159__TZM__313__1__313__1
3000,3000,2,300,1__0__479__TZM__1__4__1__4,60__0__443__MNM__2042__2042
WATE2,9140,2,0,HVL__0__3858__RAIL__Rail_SaSu+Hol,160__0__723__TZM__602__602
3000,3000,2,300,1__0__761__TZM__102__102,60__0__717__MNM__1051__1051
7224,7224,2,120,12__1__126__NBM__43__43,2__0__175__NBM__100__100
7224,7224,2,120,12__1__126__NBM__43copy__43copy,2__0__175__NBM__100__100
PORI2,2001,2,0,KPL__0__6452__RAIL__Rail_SaSu+Hol,220__0__733__TZM__305__305
8251,TAIT1,2,0,120__1__112__TZM__419__1__419__1,HVL__1__2613__RAIL__Rail_MTuWThF-XHol
8251,TAIT1,2,0,120__1__112__TZM__419__2__419__2,HVL__1__2613__RAIL__Rail_MTuWThF-XHol
8251,TAIT1,2,0,120__1__112__TZM__419__3__419__3,HVL__1__2613__RAIL__Rail_MTuWThF-XHol
3081,3081,2,120,19__0__737__TZM__205__2__205__2,1__1__780__TZM__202__202
3081,3081,2,120,19__0__737__TZM__205__8__205__8,1__1__780__TZM__202__202
PORI2,2001,2,0,KPL__0__6460__RAIL__Rail_SaSu+Hol,220__0__449__TZM__302__1__302__1
PORI2,2002,2,0,KPL__0__6318__RAIL__Rail_MTuWThF-XHol,236__0__115__TZM__309__309
6055,6017,2,240,1__1__496__TZM__112__1__112__1,29__1__444__TZM__114__1__114__1
2002,PORI1,2,0,230__1__100__TZM__305__2__305__2,KPL__1__6207__RAIL__Rail_MTuWThF-XHol
2002,PORI1,2,0,230__1__100__TZM__305__3__305__3,KPL__1__6207__RAIL__Rail_MTuWThF-XHol
7224,7224,2,120,12__1__154__NBM__67__67,2__0__241__NBM__50__50
7224,7224,2,120,12__1__154__NBM__67copy__67copy,2__0__241__NBM__50__50
7720,7700,2,60,17__1__144__TZM__105__2__105__2,7__1__212__TZM__117__2__117__2
7720,7700,2,60,17__1__144__TZM__105__4__105__4,7__1__212__TZM__117__4__117__4
WATE2,9165,2,0,HVL__0__2614__RAIL__Rail_MTuWThF-XHol,150__0__105__TZM__405__2__405__2
WATE2,9165,2,0,HVL__0__2614__RAIL__Rail_MTuWThF-XHol,150__0__105__TZM__405__3__405__3
WATE2,9140,2,0,HVL__0__3844__RAIL__Rail_SaSu+Hol,160__0__433__TZM__604__604
7083,7083,2,120,18__1__444__NBM__36__1__36__1,2__0__447__NBM__23__1__23__1
WATE2,9140,2,0,HVL__0__2610__RAIL__Rail_MTuWThF-XHol,160__0__101__TZM__601__2__601__2
6720,7720,2,120,7__0__427__TZM__211__2__211__2,29__0__417__TZM__114__1__114__1
6720,7720,2,120,7__0__169__TZM__135__135,17__0__129__TZM__139__139
6720,7720,2,120,7__0__169__TZM__135__1__135__1,17__0__129__TZM__139__139
2001,PORI1,2,0,226__0__129__TZM__304__2__304__2,KPL__1__6305__RAIL__Rail_MTuWThF-XHol
PORI2,2003,2,0,KPL__0__6318__RAIL__Rail_MTuWThF-XHol,226__0__133__TZM__304__2__304__2
TAIT2,9251,2,0,HVL__0__3614__RAIL__Rail_MTuWThF-XHol,120__0__163__TZM__602__2__602__2
TAIT2,9251,2,0,HVL__0__3614__RAIL__Rail_MTuWThF-XHol,120__0__163__TZM__602__3__602__3
7730,7730,2,120,23__1__716__TZM__114__114,7__1__722__TZM__106__106
2001,PORI1,2,0,220__0__417__TZM__302__1__302__1,KPL__1__6423__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,220__1__416__TZM__304__1__304__1,KPL__1__6423__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,220__1__416__TZM__304__3__304__3,KPL__1__6423__RAIL__Rail_SaSu+Hol
3000,3000,2,300,1__0__157__TZM__118__1__118__1,19__0__151__TZM__130__130
3000,3000,2,300,1__0__157__TZM__118__3__118__3,19__0__151__TZM__130__1__130__1
7017,7017,2,120,29__0__427__TZM__103__1__103__1,1__0__461__TZM__111__2__111__2
1001,PARA1,2,0,250__0__113__UZM__504__3__504__3,KPL__1__6221__RAIL__Rail_MTuWThF-XHol
1501,WAIK,2,240,280__0__127__UZM__808__808,KPL__1__6301__RAIL__Rail_MTuWThF-XHol
UPPE,8579,2,240,HVL__0__3826__RAIL__Rail_SaSu+Hol,110__0__707__TZM__504__504
6720,7720,2,120,7__0__199__TZM__108__2__108__2,29__0__147__TZM__139__139
6720,7720,2,120,7__0__197__TZM__219__219,29__0__147__TZM__139__139
7083,7083,2,120,18e__1__137__NBM__116__3__116__3,2__0__223__NBM__9__2__9__2
7083,7083,2,120,18e__1__137__NBM__116__3__116__3,2__0__223__NBM__9__3__9__3
7083,7083,2,120,18e__1__137__NBM__116__3copy__116__3copy,2__0__223__NBM__9__2copy__9__2copy
8165,WATE1,2,0,150__1__706__TZM__405__405,HVL__1__3825__RAIL__Rail_SaSu+Hol
9001,PETO1,2,0,150__1__142__TZM__405__2__405__2,HVL__1__3623__RAIL__Rail_MTuWThF-XHol
9001,PETO1,2,0,150__1__142__TZM__405__3__405__3,HVL__1__3623__RAIL__Rail_MTuWThF-XHol
WATE2,9140,2,0,HVL__0__3826__RAIL__Rail_SaSu+Hol,160__0__415__TZM__601__1__601__1
9416,SILV,2,240,115__0__121__TZM__503__2__503__2,HVL__1__3617__RAIL__Rail_MTuWThF-XHol
7083,7083,2,120,18__1__116__NBM__77__77,2__0__145__NBM__104__3__104__3
7083,7083,2,120,18__1__116__NBM__77copy__77copy,2__0__145__NBM__104__3__104__3
6081,6081,2,120,2__1__562__NBM__3__3,18e__0__717__NBM__29__29
6081,6081,2,120,2__1__562__NBM__3copy__3copy,18e__0__717__NBM__29__29
PORI2,2003,2,0,KPL__0__6244__RAIL__Rail_MTuWThF-XHol,220__1__138__TZM__307__1__307__1
9001,PETO1,2,0,154__0__405__TZM__407__1__407__1,HVL__1__3821__RAIL__Rail_SaSu+Hol
6733,6730,2,120,7__0__745__TZM__101__2__101__2,23__0__741__TZM__107__107
1001,PARA1,2,0,262__1__124__UZM__1410__1410,KPL__1__6309__RAIL__Rail_MTuWThF-XHol
1001,PARA1,2,0,262__1__124__UZM__1410__1__1410__1,KPL__1__6309__RAIL__Rail_MTuWThF-XHol
1001,PARA1,2,0,262__1__124__UZM__1410copy__1410copy,KPL__1__6309__RAIL__Rail_MTuWThF-XHol
1001,PARA1,2,0,261__1__154__UZM__204__1__204__1,KPL__1__6355__RAIL__Rail_MTuWThF-XHol
WATE2,9140,2,0,HVL__0__3866__RAIL__Rail_SaSu+Hol,170__0__729__TZM__603__603
8140,WATE1,2,0,160__1__414__TZM__605__1__605__1,HVL__1__3823__RAIL__Rail_SaSu+Hol
8251,TAIT1,2,0,120__1__738__TZM__402__402,HVL__1__3855__RAIL__Rail_SaSu+Hol
2001,PORI1,2,0,226__0__149__TZM__304__2__304__2,KPL__1__6335__RAIL__Rail_MTuWThF-XHol
WATE2,9140,2,0,HVL__0__3628__RAIL__Rail_MTuWThF-XHol,160__0__143__TZM__602__2__602__2
WATE2,9140,2,0,HVL__0__3628__RAIL__Rail_MTuWThF-XHol,160__0__143__TZM__602__3__602__3
9001,PETO1,2,0,150__1__440__TZM__409__409,HVL__1__3863__RAIL__Rail_SaSu+Hol
7720,7700,2,60,29__1__718__TZM__112__112,7__1__740__TZM__106__106
8140,WATE1,2,0,170__0__111__TZM__608__608,HVL__1__2613__RAIL__Rail_MTuWThF-XHol
8140,WATE1,2,0,170__0__111__TZM__608__1__608__1,HVL__1__2613__RAIL__Rail_MTuWThF-XHol
2002,PORI1,2,0,230__1__132__TZM__319__319,KPL__1__8213__RAIL__Rail_MTuWThF-XHol
2002,PORI1,2,0,230__1__132__TZM__319__1__319__1,KPL__1__8213__RAIL__Rail_MTuWThF-XHol
2002,PORI1,2,0,230__1__132__TZM__319__2__319__2,KPL__1__8213__RAIL__Rail_MTuWThF-XHol
PETO2,9001,2,0,HVL__0__3838__RAIL__Rail_SaSu+Hol,150__0__711__TZM__405__405
7083,7083,2,120,18__1__182__NBM__156__156,2__0__213__NBM__36__2__36__2
9001,PETO1,2,0,150__1__722__TZM__405__405,HVL__1__3859__RAIL__Rail_SaSu+Hol
PORI2,2001,2,0,KPL__0__6460__RAIL__Rail_SaSu+Hol,210__0__423__TZM__305__1__305__1
8580,UPPE,2,240,111__0__143__TZM__507__1__507__1,HVL__1__3629__RAIL__Rail_MTuWThF-XHol
WATE2,9140,2,0,HVL__0__3636__RAIL__Rail_MTuWThF-XHol,160__0__155__TZM__609__609
WATE2,9140,2,0,HVL__0__3636__RAIL__Rail_MTuWThF-XHol,160__0__155__TZM__609__1__609__1
WATE2,9140,2,0,HVL__0__4622__RAIL__Rail_MTuWThF-XHol,160__0__155__TZM__609__609
WATE2,9140,2,0,HVL__0__4622__RAIL__Rail_MTuWThF-XHol,160__0__155__TZM__609__1__609__1
WATE2,9140,2,0,HVL__0__3862__RAIL__Rail_SaSu+Hol,160__0__725__TZM__603__603
9001,PETO1,2,0,150__1__150__TZM__405__2__405__2,MEL__1__5643__RAIL__Rail_MTuWThF-XHol
9001,PETO1,2,0,150__1__150__TZM__405__3__405__3,MEL__1__5643__RAIL__Rail_MTuWThF-XHol
8140,WATE1,2,0,170__0__721__TZM__602__602,HVL__1__3855__RAIL__Rail_SaSu+Hol
3081,3081,2,120,19__0__407__TZM__210__210,1__1__426__TZM__101__3__101__3
7730,7730,2,120,23__1__408__TZM__108__1__108__1,7__1__412__TZM__204__3__204__3
7730,7730,2,120,23__1__408__TZM__108__1__108__1,7__1__412__TZM__204__7__204__7
UPPE,8579,2,240,HVL__0__3638__RAIL__Rail_MTuWThF-XHol,112__0__133__TZM__524__524
8251,TAIT1,2,0,120__1__182__TZM__432__432,HVL__1__3623__RAIL__Rail_MTuWThF-XHol
8251,TAIT1,2,0,120__1__182__TZM__432__1__432__1,HVL__1__3623__RAIL__Rail_MTuWThF-XHol
