route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,etm_id
2,Rail MTuWThF-XHol,KPL__0__8272__RAIL__Rail_MTuWThF-XHol,,0,,[@6.0.20608271@]KPL:822#24511#24516,,2,8272
5,Rail MTuWThF-XHol,HVL__1__4601__RAIL__Rail_MTuWThF-XHol,,1,,[@6.0.20608367@]HVL:786#24145#24152,,2,4601
6,Rail MTuWThF-XHol,JVL__1__9245__RAIL__Rail_MTuWThF-XHol,,1,,[@6.0.20608239@]JVL:801#24315#24322,,2,9245
250,219_4,25__1__429__TZM__219__4__219__4,,1,,[@6.0.22281071@]2,,2,429
20,4_2,2__0__424__NBM__4__2__4__2,,0,,[@364.0.23226994@]5,,2,424
2810,50_4,281__0__111__UZM__50__4__50__4,,0,,[@364.0.10228169@]1,,2,111
190,206_8,19__0__749__TZM__206__8__206__8,,0,,[@364.0.17528164@]1,,2,749
10,210_7,1__1__476__TZM__210__7__210__7,,1,,[@364.0.17528045@]3,,2,476
120,241,12__0__445__NBM__241__241,,0,,[@364.0.23227021@]2,,2,445
230,215_8,23__1__424__TZM__215__8__215__8,,1,,[@364.0.17529510@]1,,2,424
5,Rail MTuWThF-XHol,HVL__1__3605__RAIL__Rail_MTuWThF-XHol,,1,,[@6.0.20608367@]HVL:783#24101#24116,,2,3605
520,3192,52__0__123__MNM__3192__3192,,0,,[@360.0.6959370@]2,,2,123
1500,428_1,150__0__143__TZM__428__1__428__1,,0,,[@6.0.21845698@]3,,2,143
520,3172,52__1__126__MNM__3172__3172,,1,,[@360.0.6959370@]52:307#10264#10319,,2,126
5,Rail SaSu+Hol,HVL__1__3831__RAIL__Rail_SaSu+Hol,,1,,[@6.0.20608367@]HVL:783#24101#24116,,2,3831
1210,425_1,121__1__120__TZM__425__1__425__1,,1,,[@356.0.42934812@]2,,2,120
520,1011,52__1__704__MNM__1011__1011,,1,,[@360.0.6959370@]52:307#10264#10319,,2,704
140,34_2,14__1__442__NBM__34__2__34__2,,1,,[@364.0.23225636@]5,,2,442
30,2_2,3__0__507__NBM__2__2__2__2,,0,,[@360.0.6959122@]2,,2,507
290,217_2,29__0__431__TZM__217__2__217__2,,0,,[@364.0.17529751@]2,,2,431
20,27_2,2__1__515__NBM__27__2__27__2,,1,,[@364.0.23226994@]10,,2,515
2610,1116_1,261__1__700__UZM__1116__1__1116__1,,1,,[@366.0.28965564@]2,,2,700
